sentences,sentiment
"The US labor market saw initial jobless claims for the week ending March 27 cross the wires at 3734k, slightly above the median forecast of 3650k.",neg
" Earlier this week, the RBA released its April interest rate decision when the central bank kept its benchmark cash rate unchanged at 0.1%.",neg
Australia added 88.7k positions against expectations of a 30k increase.,pos
The bulk of these were derived from the full-time sector (89.1k) as part-time shrunk 0.5k.,neu
"Australia’s unemployment rate also edged down to 5.8% from 6.3% prior, marking the lowest point in almost one year.",pos
The Fed anticipates real GDP to rise 6.5% this year versus December’s 4.2% projection.,pos
"The Australian Dollar climbed after Australian Q4 GDP came in at -1.1% year-over-year (YoY), against an expected reading of -1.8%.",pos
"Meanwhile, a worse than expected U.S. consumer confidence figure from the Conference Board failed to dissuade the risk-on movement.",neu
"According to the DailyFX Economic Calendar, consumer confidence crossed the wires at 96.1, missing expectations for 98.0.",neg
"The Fed’s preferred measure of core inflation rose 1.6 percent (YoY) in March, in-line with economists’ expectations.",neu
"According to the DailyFX Economic Calendar, Australia gained 178.8k jobs versus expectations for -30k.",pos
"According to overnight index swaps, the probability that the RBA cuts its policy interest rate this week currently stands at around 80%.",neg
"However, the ASX 30 Day Interbank Cash Rate Futures reflect a greater than 70% probability for a RBA rate cut as “the Board is prepared to do more if necessary,” and an unexpected reduction in the official cash rate (OCR) may undermine the recent rebound in AUD/USD as Governor Lowe and Co. continue to push monetary policy into uncharted territory.",neg
"While the unemployment rate dropped to 6.6% from 6.8%, a sizeable portion of the jobs added was in part-time employment at 14.3k versus 35.7k full-time jobs.",pos
"As a result, Australia’s Employment report may fuel the recent series of higher highs and lows in AUD/USD as the economy is projected to add 50.0K jobs in December, and a positive development may keep the Reserve Bank of Australia (RBA) on the sidelines at its first meeting for 2021 as the “Board does not expect to increase the cash rate for at least 3 years.”",neg
"The December Caixin Services PMI reading came in at 56.3, against a consensus of 57.9, and a previous outcome of 57.8.",neg
"Australia is expected to add 50.0K in November following the 178.8K expansion the month prior, and the ongoing improvement in the labor market may keep the Reserve Bank of Australia (RBA) on the sidelines in 2021 as the “the economic news has, on balance, been better than we were expecting.”",pos
AUD/USD saw a positive but underwhelming reaction given the solid bounce in economic activity and is now giving back its post-GDP report gains.,neu
"August’s official Consumer Price Index rose 2.8% on the year, above the expected 2.7% rise and matching July’s gain.",neg
"However, the ASX 30 Day Interbank Cash Rate Futures continues to reflect a greater than 70% probability for a rate cut in November, and speculation for an RBA rate cut may produce headwinds for the Australian Dollar as the “Board continues to consider how additional monetary easing could support jobs as the economy opens up further.”",neu
"In September, the country lost 29.5k jobs versus -40.0k expected.",neg
"The unemployment rate also ticked higher to 6.9% from 6.8%, but didn’t match the 7.0% consensus.",neg
"The bulk of job losses were seen from the full-time sector, shrinking 20.1k as part-time positions fell by just 9.4k.",neg
"That is because Philip Lowe, Governor of the Reserve Bank of Australia, boosted dovish monetary policy expectations.",neu
"In addition, Mr Lowe reiterated that it is possible they could cut the cash rate further down to 0.10% from 0.25%. ",neg
"The country added 300 jobs versus 13,500 expected and compared to a 7,400 loss in January.",neg
"At the same time, the jobless rate is expected to increase to 7.8% from 7.4% in June as discouraged workers return to the labor force, and the participation rate may continue to recover from the lowest reading since 1997 as Treasurer Josh Frydenberg extends fiscal stimulus programs like the Jobkeeper Payment for six-months.",neg
"Although exceeding market expectations of a 2% drop, the consumer price index (CPI) fell 1.9% in the three months through June, driven by a collapse in oil prices and supportive intervention from the government.",pos
"AUD/USD appears to be stuck in a narrow range following Australia’s Employment report, which showed the rebound in job growth largely driven by part-time positions (+249.0K), while full-time jobs narrowed (-38.1K) for the fourth consecutive month in June.",pos
"Nevertheless, a deeper look at the report revealed a larger-than expected uptick in the Participation Rate, with the gauge widening to 64.0% from a revised 62.7% in May amid forecasts for a 63.3% print.",pos
"The Australian Dollar plunged as the unemployment rate jumped to 7.4% - the highest levels since 1998 - despite the economy adding 210,800 jobs in June.",neg
"The US jobless rate currently sits at 11.1% according to the most recent NFP report, and unemployment insurance claims just topped 33-million last week.",neu
"AUD/USDattempts to retrace the decline following Australia’s Employment report, which showed the economy shedding 227.7K jobs in May, and the exchange rate may face range bound conditions going through the last full week of June as it bounces back ahead of last week’s low (0.6777).",neg
"The Australian Dollar collapsed after employment data shattered the relatively positive outlook portrayed by the Reserve Bank of Australia in its most recent meeting, as the unemployment rate climbed to 7.1% and the participation rate declined from 63.6% to 62.9% in May.",neg
"At the same time, the jobless rate is projected to increase to 7.0% from 6.2% in April, which would mark the highest reading since 2002, and the ongoing slump in the labor market may drag on the Australian Dollar as it puts pressure on the RBA to further support the economy.",neg
The Australian Dollar nudged higher after the Reserve Bank of Australia (RBA) kept the official cash rate (OCR) and the three-year yield target unchanged at 0.25%.,neg
"market predicts a current terminal rate of 2.85, the peak in the cash rate before a cut could be suggested, now the suggested cash rate stands at 2.50% in the terminal rate.",neg
"around 10k jobs were added this month, that came above the anticipated figure of 9k and the prevous 2.3k",pos
"AUD/USDattempts to retrace the decline following Australia’s Employment report, which showed the economy shedding 227.7K jobs in May, and the exchange rate may face range bound conditions going through the last full week of June as it bounces back ahead of last week’s low (0.6777).",neg
"The Australian Dollar collapsed after employment data shattered the relatively positive outlook portrayed by the Reserve Bank of Australia in its most recent meeting, as the unemployment rate climbed to 7.1% and the participation rate declined from 63.6% to 62.9% in May.",neg
"AUD/USD pulls back from the weekly high (0.6977) after showing a limited reaction to the Reserve Bank of Australia (RBA) Minutes, but the update to Australia’s Employment report may influence the exchange rate as the economy is expected to shed 125K job in May.",neg
"At the same time, the jobless rate is projected to increase to 7.0% from 6.2% in April, which would mark the highest reading since 2002, and the ongoing slump in the labor market may drag on the Australian Dollar as it puts pressure on the RBA to further support the economy.",neg
The central bank kept the official cash rate and the target for 3-year yields at 0.25%.,neu
"However, with GDP contracting 0.3% in the first half of 2020, Australia looks to be heading for its first recession since 1991.",neu
"As household consumption falls to the lowest reading since the fourth quarter of 2008 (-1.1%) it is evident that without the fiscal support provided from the Australian government, through the JobKeeper and JobSeeker initiatives, GDP would have registered a contraction of 0.7%.",neg
"Manufacturing is anticipated to print a 43.7 figure, slightly higher than the prior 41.5 figure.",pos
"The final reading for the analogous Markit PMI is expected to show a 40.0 statistic, slightly stronger than the previous 39.8 print.",pos
"However, updates to Australia’s Employment report may rattle the recent recovery in AUD/USD as the economy is expected to shed 30.0K jobs in March, while the Unemployment Rate is projected to increase to 5.4% from 5.1% the month prior.",neg
"US Dollar price action has potential to catch a bid if 1Q-2020 US GDP misses market estimates and prompts a risk-off market response, which, in light of the uncertainty that surrounds economic fallout from the coronavirus pandemic, is a material possibility.",neu
The RBA’s monthly monetary policy statement was not substantially different in tone from that which accompanied its decision to leave the key Official Cash Rate alone at its record low of 0.25% this month.,neu
"AUD/USD trades near the monthly high (0.6548) ahead of Australia’s Employment report, but the update may drag on the exchange rate as the economy is expected to shed 575K jobs in April, which would mark the biggest decline since the data series began in 1978.",neg
"At the same time, the jobless rate is projected to increases to 8.3% from 5.2% in March, and the economic shock from COVID-19 may put pressure on the Reserve Bank of Australia (RBA) to further support the economy as the central bank anticipates unemployment to “remain elevated for some time.”",neg
"In turn, the RBA may offer little guidance as the central bank carries out the yield curve control program for the 3-Year government bond, but the threat of a protracted recovery may put pressure on Governor Lowe and Co. to further support the economy as the International Monetary Fund (IMF) forecasts Australia to contract 6.7% this year.",neu
"Analysts are anticipating a -8.0 percent print, which if fulfilled would mark the softest reading on record.",neg
Industrial production for the same month is also expected to print a contractionary figure at -4.0 percent.,neg
The unemployment rate dropped to 5.8 percent compared to the 6.0 percent economists’ estimates.,pos
"However, updates to Australia’s Employment report may rattle the recent recovery in AUD/USD as the economy is expected to shed 30.0K jobs in March, while the Unemployment Rate is projected to increase to 5.4% from 5.1% the month prior.",neg
"As markets came online after the weekend, the Federal Reserve slashed interest rates to a 0.00 – 0.25% range, which totaled 100bp worth of easing.",neg
"According to current overnight swaps pricing, another 25-basis point interest rate cut is expected by the September 2020 RBA meeting.",neg
"More importantly, the unemployment rate fell to 5.1%, better than the RBA’s forecast of 5.2%.",pos
Producer prices slipped 0.8%.,neu
"Their fall accelerated from the 0.3% contraction seen in the previous month, but it wasn’t as severe as the expected 0.9% slide.",neu
"Month-on-month retail sales came in at 0.8%, beating the 0.3% forecast with the country’s trade balance reporting a A$4801m surplus, beating the A$3700 forecast and holding the rank of the largest one-month surplus in the country’s history.",pos
AUDUSD violently swung between both ends of the candle and then fell alongside bond yields following the release of the RBA interest rate decision to hold rates at 1.50 percent.,neg
"In the meantime, headline CPI in the world’s second-largest economy picked up to 2.3% y/y in March from 1.5% in February as expected.",neg
"Meanwhile, wholesale inflation clocked in at 0.4% y/y from 0.1% prior as anticipated.",neu
"The pickup in Chinese prices follows a similar uptick in manufacturing PMI data which in the same period, rose to 50.5 and indicated expansion for the first time since October.",pos
"Sentiment picked up later in the day when better-than-expected US ISM Manufacturing PMI data crossed the wires, clocking in at 55.3 versus 54.5 expected.",pos
"Australia’s economy expanded 1.8 percent y/y, as anticipated and softer from 2.3 in the fourth quarter of last year.",neu
"Australia’s GDP clocked in at 0.4 percent q/q, lower than 0.5 expected but higher than the 0.2 outcome prior.",neg
PPI (excluding food and energy) clocked in at 2.3% y/y in June versus 2.1% anticipated.,pos
"In the second quarter, Australian CPI clocked in at 1.6% y/y versus 1.5% anticipated and up from 1.3% in the first quarter.",neg
"The report came in at 5.3 percent and missed the 5.6 forecast, subsequently leading the Aussie to slide.",neg
" Services data, the sector in which the world’s second-largest economy is slowly transitioning more into, clocked in at 51.1 in February versus 53.5 expected.",neg
" Fresh figures coming out of Australia showed the economy adding 21.6K jobs in December following a 39.0K expansion the month prior, while the Unemployment Rate unexpectedly narrowed to 5.0% from 5.1% during the same period as the Participation Rate slipped to 65.6% from 65.7% in November. ",neg
"Economic activity is expected to edge higher in the year through June 2020 as the growth rate is expected to increase 2.75%, but the fresh update compares to earlier projections for a 3.25% expansion.",pos
"Forecasts were at 49.6 with the actual at 48.3, the fastest contraction since 2016.",neg
The year-on-year underlying inflation measure forecast stood at 1.8 percent with data coming in at the same number.,neu
"The Australian economy added 21.6k jobs in December, beating the estimate of 18.0k, but down from the prior 39.0k.",pos
"Australia added another 37.0K jobs in November, while the Unemployment Rate unexpectedly climbed to 5.1% from 5.0% per annum in October as the Participation Rate increased to 65.7% from a revised 65.5% during the same period.",neg
"November’s unemployment rate came in at 5.1%, an increase from both the expected and previous 5.0%.",neg
"Australia’s economy added 37.0k jobs during last month, up from the 20.0k forecasted and 28.7k prior. ",pos
"AUD/USD holds above the weekly-low (0.7191) as the NFP report shows a 155K expansion in November versus projections for a 198K print, with Average Hourly Earnings holding steady at 3.1% per annum for the second consecutive month.",neg
"As a result, data prints coming out of China, Australia’s largest trading partner, may shake up AUD/USD as the region faces its slowest economic expansion since 2009, with the Consumer Price Index (CPI) expected to narrow to 2.4% from 2.5% in October. ",pos
"The Australian Dollar was cautiously higher against its US namesake after the Reserve Bank of Australia maintained its overnight cash rate at 1.50%, as expected.",neg
"Australia added a meager 5.6K jobs in October following a revised 44.6K expansion the month prior, while the Unemployment Rate unexpected narrowed to 5.0% from 5.3% per annum as the Participation Rate slipped to 64.5% from 65.7% during the same period.",pos
"In turn, the U.S. GDP print may spark a limited reaction, and market participants may end up paying increased attention to Australia’s Consumer Price Index (CPI) as the headline reading is expected to narrow to 2.0% from 2.1% in the second-quarter.",pos
"Although September’s unemployment rate decreased to 5.0% from both economists’ forecasts and the prior 5.3%, the labor force participation rate declined to 65.4% from the 65.7% previous and estimated.",pos
"In addition, the Australian economy added 5.6k jobs last month, a sharp drop from the forecasted 15.0k and prior 44.0k.",neg
"AUD/USD remains under pressure ahead of Australia’s Retail Sales report even though the updates are anticipated to show a 0.2% rebound in August, and recent price action keeps the downside targets on the radar as it extends the series of lower highs & lows from earlier this week.",neu
"2Q corporate profits clocked in at 2.0%, an increase from both economists’ forecasts of 1.3% and the prior 5.9%.",pos
"Seasonally adjusted inventories for the second quarter decreased to 0.6% from the 0.7% previous, but were still above the 0.2% estimate.",pos
"Aside from the monetary authority’s decision, the Australian Dollar also faces the release of second quarter year-over-year GDP, which is expected to tick down to 2.8% from the 3.1% previous.",neg
The Australian Dollar spiked against its US counterpart after the Reserve Bank of Australia maintained its overnight cash rate at the record low of 1.50% at its September meeting.,neg
"The currency also faces the release of second quarter year-over-year growth statistics, which are expected to decrease to 2.8% from the prior 3.1%.",neg
"Until then, the developments coming out of the U.S. economy remains in focus as the Retail Sales report is anticipated to show a 0.4% rise in August versus the 0.5% expansion the month prior, and another set of disappointing data prints may fuel the recent recovery in AUD/USD as it rattles interest rate expectations.",neg
"Second quarter year-on-year housing inflation came in at -0.6%, a slight uptick from economists’ forecasts of -0.7% and a decrease from the 2.0% prior.",pos
"2Q private capital expenditures clocked in at -2.5%, a decrease from both economists’ forecasts of 0.6% and prior 0.4%.",pos
"Australia added 12.0K jobs in May following a 18.3K expansion the month prior, while the Unemployment Rate narrowed to 5.4% per annum from 5.6% during the same period as the Participation rate unexpectedly slipped to 65.5% from 65.6% in April.",pos
"The Australian economy added 50.9k jobs, a significant increase from economists’ forecasts of an additional 16.5k jobs and May’s 12.0k jobs.",pos
"Australia’s Consumer Price Index (CPI) held steady a 1.9% for the second straight quarter, while the core rate of inflation unexpectedly climbed to 1.9% from 1.8% in the fourth quarter of 2017.",neg
"To recap, US PPI final demand was below estimates at 2.7% year-on-year to the end of March rather than the 3.0% anticipated and 4.6% previously.",neg
"There, the country is expected to add about 20.0k jobs as the unemployment and labor force participation rates hold steady at 5.5% and 65.5% respectively.",neu
"Australia’s Wage Price Index (WPI) unexpectedly increased for the second consecutive quarter, with the headline reading climbing to an annualized 2.1% from 2.0% in the three-months through September.",pos
"Looking at the values below, retail sales largely missed expectations coming in at 9.4% y/y and YTD 9.7% y/y in April versus 10.0% and 9.9% estimate respectively.",neg
Industrial production on the other hand beat forecasts clocking in at 7.0% y/y and YTD 6.9% y/y versus 6.4% and 6.7% expected respectively.,pos
"For the first time, we got a globally comparable jobless rate from the world’s second largest economy.",neu
"There, it contracted to 4.9% in April from 5.1% prior.",neu
"In March, retail sales neither increased nor decreased coming at 0.0% versus +0.2% estimated and +0.6% in February.",neu
"Meanwhile, retail sales excluding inflation rose just 0.2% q/q in the first quarter versus +0.6% expected and +0.8% in the fourth quarter of last year.",neg
"Household spending increased 0.6% in February after climbing 0.2% the month prior, with the pickup led by a 1.5% expansion in department store sales.",pos
"A separate report showed an unexpected decline in Australia Building Approvals, with the figure narrowing an annualized 3.1% during the same period amid forecasts for a 0.3% rise.",neg
"Fresh data prints coming out of the global economy has propped up AUD/USD as industrial outputs in China, Australia’s largest trading partner, expands an annualized 7.2% in February, while U.S. Retail Sales unexpectedly contracts 0.1% during the same period.",neu
"With that said, key developments coming out of the U.S. may largely influence EUR/USD over the near-term especially as the Federal Open Market Committee (FOMC) is widely anticipated to raise the benchmark interest rate to a fresh threshold of 1.50% to 1.75%.",pos
"On the quarter, growth was 0.6%.",neu
That was below both the 0.7% expected and the previous quarter’s upwardly revised 0.9% gain.,neu
"This was well ahead of the second quarter’s 1.8% rise, but it was below the 3% expansion which markets had hoped for.",neg
"After keeping the rate on hold at 1.5% for the 15th straight meeting, the central bank communicated that they see little reason to suggest the rate should be higher as wage growth in AU is expected to stay low and that the relatively strong AUD is likely limiting a pickup in inflation and the economy.",neg
That put it above both the 51.4 expected and October’s 51.6. ,pos
November’s official Purchasing Managers Index came in at 51.8.,neu
"This is quite a strong reading by the standards of the past twelve months too, only beaten by September’s 52.4.",neu
"With the RBA widely anticipated to keep the official cash rate at 1.50%, more of the same from Governor Philip Lowe & Co. may sap the appeal of the Australian dollar as the central bank remains in no rush to normalize monetary policy.",neg
"Australia’s Consumer Price Index (CPI) unexpectedly slowed to an annualized 1.9% from 2.1% during the first three-months of 2017, while the core rate of inflation held steady at 1.8% per annum amid a downward revision in the prior reading.",pos
Another 20.0K expansion in Australia Employment report may stoke a larger recovery in AUD/USD as it puts pressure on the Reserve Bank of Australia (RBA) to lift the cash rate from the record-low.,neu
"The Australian economy added another 14.0K jobs in June, while the Unemployment held steady at an annualized 5.6% for the second month even as the Participation Rate unexpectedly climbed to 65.0% from 64.9% in May. ",neu
"A deeper look at the report showed a 62.0K expansion in full-time employment, while part-time positions narrowed another 48.0K during the same period.",neu
"But in the NFP report to be released on Friday morning, Average Hourly Earnings contained within the report will offer a more updated picture of inflationary pressure in the U.S. economy, and this may even garner more attention than the actual headline print provided that the data shows within a reasonable range of the +175k expectation.",neu
"Australia’s Consumer Price Index (CPI) climbed an annualized 2.1% after expanding 1.5% during the last three-months of 2016, while the core rate of inflation increased 1.9% during the same period amid forecasts for a 1.8% print.",neg
"The Australian economy added another 42.0K jobs following a 46.1K expansion in April, while the jobless rate unexpectedly narrowed to an annualized 5.5% from 5.7% to mark the lowest reading since 2013.",pos
"Expectations for US Consumer Price Index (YoY)(MAY) figures were set at 2.0%, but released at an actual 1.9%.",pos
"The quarterly measure for retail sales also fell relative to analyst expectations, rising 0.1 percent versus the forecasted 0.5 percent.",neg
The Australian Dollar rose to a session high following the Reserve Bank of Australia’s decision to maintain its headline interest rate at 1.5 percent.,neg
"At +1.9%, the headline reading missed both consensus expectations (Bloomberg News’ aggregate forecast of economists called for +2.2%) as well as several tracking gauges put out by various Federal Reserve branches (Atlanta Fed was looking for +2.9%, NY Fed was looking for +2.1%).",neg
"The index rose 0.7% on-year, once more beating forecasts which averaged out at a 0.5% gain.",pos
"Markit posted a PMI of 55.1 in January, up from 54.3 in December, against market estimates of 54.5, to signal a marked upturn in the health of the sector that was the strongest since March 2015.",pos
That was far weaker than both the 0.5% rise notched up in October and the 0.4% gain which markets were expecting.,neg
"The report showed the economy added a net 39.1k jobs in November, easily topping expectations calling for a 17.5k increase.",pos
"November’s official industrial production rose 6.2% on-year, above the 6.1% rise markets had expected.",pos
"They came in with a 10.8% on-year gain, better than the 10.2% rise expected.",pos
"Average prices rose 1.5%, below both the second quarter’s 2% gain and market expectations of a 2.5% rise.",pos
"In November, consumer prices increased 2.3 percent versus 2.2% expected and 2.1% in October.",neg
"The Australian Dollar ticked lower on Tuesday after the Reserve Bank of Australia opted to leave rates at their record low of 1.5%, despite the fact that markets overwhelmingly expected the result.",neg
This was much worse than both the 1.6% fall markets had been looking for and the 3.1% slide reported the quarter before.,neu
That was as-expected by the market and above the 1.9% seen in September.,neu
"Producer prices rose 1.2%, which was better than expected and the series best showing since late 2011.",pos
"Completing a trifecta of better news, the official non-manufacturing PMI was 54.0, up from 53.7 in September.",pos
"Expectations are for 2.5% growth in 3Q year-on-year, after the prior and disappointing 1.4% figure.",neu
A 0.2% rebound in Australia Retail Sales may spark a bullish reaction in AUD/USD and encourage the Reserve Bank of Australia (RBA) to gradually move away from its easing-cycle as it instills an improved outlook for the region.,neu
The Australian Dollar held its ground after the April unemployment rate came in at 3.9% as forecast and against 4.0% previously.,pos
The overall change in employment gain for the month was 4k instead of 30k anticipated.,neg
"Analysts expect to see that PMI figure rise to 57.3 from 57.0, according to a Bloomberg survey.",pos
77.4k jobs were added in February to give an unemployment rate of 4.0% against expectations of 37k and 4.1% respectively.,pos
US CPI was released overnight and came in at a shocking 9.1%.,neu
The bank lifted the cash rate by 50 basis points to 1.35% from 0.85%.,pos
the unemployment rate fell to 3.4% from June’s 3.5%. ,pos
 The bank lifted the cash rate target by 50 basis points (bps) to 1.85% from 1.35%.,pos
A policy error by the US Federal Reserve aided an acceleration of price pressures that pushed the bank to multiple jumbo hikes of 75 basis points.,pos
The September unemployment rate was unchanged at 3.5% against 3.5% forecast.,neu
The RBA blinked earlier this month when they surprised the market at their monetary policy committee meeting by hiking by only 25 basis points (bps) rather than 50 bps anticipated.,neg
The Australian Dollar slipped half a cent lower after the Reserve Bank of Australia (RBA) lifted the cash rate target by a less than expected 25 basis points (bps) to 2.85% from 2.60%.,neg
The latest annual GDP to the end of July printed at 3.6% and the unemployment rate is steady around multi-generational lows of 3.5%.,pos
Australia lost 1k employees compared to the -10k forecast.,pos
It would seem that last week’s inflation figures stoked some flames of concern with headline CPI of 7.0% slightly beating forecasts of 6.9% year-on-year to the end of March and it was against 7.8% previously.,neg
"53.0k Australian jobs were added in the month, which was notably above the 20k anticipated and 64.6k previously.",pos
The unemployment rate remained low at 3.5% in March against the 3.6% anticipated and 3.5% prior.,pos
"Furthermore, data released on Tuesday Asia morning showed the Chinese economy grew 4.5% on-year in the January-March quarter, well above 4% expected, and 2.9% in the previous quarter.",pos
"The market is pricing in the RBA Cash Rate at 3.73% by August (Vs 3.6% now), up from 3.67% on Monday.",pos
Core PCE price index rose 4.5% on-year from 4.6% in February.,neg
US economic growth likely slowed to 2.0% on-quarter in the January-March quarter from 2.6% in the previous quarter as the impact of interest rate hikes spills over to the broader economy.,neg
"CPI rose 1.4% on-quarter Vs 1.3% expected, down from 1.9% in the previous quarter.",neg
"Australia's CPI rose to 7% on-year in the January-March quarter, Vs 6.9% expected from 7.8% in the previous quarter, and well above the central bank’s target band of 2%-3%.",neg
"However, the manufacturing PMI came in close to forecasts at 50.1 against an expected 50.2.",neg
The PMI numbers come on the back of weaker Chinese data from a fortnight ago that saw retail sales (8.5% YoY) and industrial production (6.4% YoY) fall below expectations.,neg
"Australia’s unemployment rate came in a 4.6% versus 4.9% prior, the markets were expecting an increase to 5%.",pos
"Although headline CPI is above the target range, the RBA’s preferred measure of inflation, the trimmed mean, printed to the low side.",neu
The RBA noted in their last meeting minutes that employment will continue to face headwinds in light of the Delta variant into the September quarter.,neu
A broad sense of risk aversion throughout global markets dragged AUD/USD over 1% lower.,neu
"That said, the figures were not as dire as the BofA card data had suggested, having predicted a 2.3% drop in the headline.",neu
"The headline rate falling 1.1%, larger than the expected 0.3% drop.",neu
"AUD/USD gives back the advance from the start of the month following the better-than-expected US Non-Farm Payrolls (NFP) report, and the exchange rate may trade to fresh yearly lows throughout the second half of 2021 there appears to be a shift in the broader trend.",neu
"The update to Australia’s GDP report may keep the RBA on the sidelines as the economy is expected to contract 2.7% in the third quarter of 2021, with the growth rate slowing to 3.0% from 9.6% per annum during the three-months through June.",neu
The non-manufacturing index (services) fell slightly to 52.3 from 52.4.,neg
"Retail sales for the month of October came in at 4.9%, well above forecasts of 2.2% and the previous month’s 1.3%.",pos
The RBA have previously said that they see the current high inflation as temporary.,neu
Retail sales in the United States crossed the wires at 1.7% m/m versus an expected 1.5%.,pos
"Technology stocks gained on Wall Street, with the Nasdaq 100 index closing 0.75% higher.",neu
September’s core machine orders missed expectations at 12.5% on a year-over-year basis.,neg
The wage price index is expected to rise 2.2% y/y.,neu
A better-than-expected print may see some AUD upside owing to an impact on RBA rate hike bets.,neu
"Australia lost 46.3k jobs last month, well below the consensus analysts forecast of +50k, according Bloomberg data.",pos
The unemployment rate ticked up to 5.2% from 4.6%.,neg
"China’s consumer price index (CPI) for October was 1.5% on a year-over-year basis, according to the National Bureau of Statistics (NBS).",neu
"China’s factory-gate prices also increased in October, with the nation’s producer price index (PPI) rising 13.5% y/y, up from September’s 10.7% rise.",pos
"The PCE index for November increased by 5.7% from one year ago, ‘reflecting increases in both goods and services.",neu
"Energy prices increased 34% while food prices increased 5.6%’, according to the US Department of Commerce.",neu
This is as downside exposure decreased by 8.0% and 31.3% compared to a day and week ago respectively.,neu
"At the same time, the Unemployment Rate is seen narrowing to 5.0% from 5.2% in October, and the RBA may come under pressure to further winddown its emergency measures after discontinuing its yield-curve control program in November.",pos
"GDP for the third quarter was a beat, coming in at 3.9% for the year on year to the end of October against 3.0% anticipated.",pos
"According to the Institute for Supply Management (ISM), October services PMI fell to 54.4 from September’s 56.7 print versus 55.5 expected, hitting its lowest level since May 2020 when the country was digging its way out of the pandemic-induced slump.",neg
"Year-on-year CPI to the end of last month came in lower than expected at 2.1%, instead of 2.4% and 2.8% previously.",pos
"Meanwhile, the unemployment rate dipped to 3.4% from 3.5% in September, projections were calling for a hold at 3.5%.",pos
The country added about 32.2k jobs against economists’ expectations of 15.0k.,pos
"The Expectations Index—based on consumers' short-term outlook for income, business, and labor market conditions—declined to 75.4 from 77.9.",neg
The latest annual GDP to the end of July printed at 3.6% and the unemployment rate is steady around multi-generational lows of 3.5%.,pos
The Australian Dollar slipped half a cent lower after the Reserve Bank of Australia (RBA) lifted the cash rate target by a less than expected 25 basis points (bps) to 2.85% from 2.60%.,neg
The overall change in employment for the month was 0.9k instead of 25k anticipated.,neg
"Although third-quarter GDP surprised to the upside, growing at an annualized rate of 2.6% versus the 2.4% expected, the outturn was driven by the external sector, with other components largely muted, a sign of underlying economic weakness.",pos
"Today’s decision comes after a blistering third quarter CPI published last week that saw the headline number come in at 7.3% year-on-year to the end of October, above the 7.0% forecast and 6.1% previously.",neg
